Ndex,Pokémon,Type1,Type2,Variance,Generation,Evolution,Rarity,NewSnap
1,Bulbasaur,Grass,Poison,,1,1,Starter,1
2,Ivysaur,Grass,Poison,,1,2,Starter,0
3,Venusaur,Grass,Poison,,1,3,Starter,1
4,Charmander,Fire,Fire,,1,1,Starter,1
5,Charmeleon,Fire,Fire,,1,2,Starter,0
6,Charizard,Fire,Flying,,1,3,Starter,1
7,Squirtle,Water,Water,,1,1,Starter,1
8,Wartortle,Water,Water,,1,2,Starter,0
9,Blastoise,Water,Water,,1,3,Starter,1
10,Caterpie,Bug,Bug,,1,1,Standard,1
11,Metapod,Bug,Bug,,1,2,Standard,1
12,Butterfree,Bug,Flying,,1,3,Standard,0
13,Weedle,Bug,Poison,,1,1,Standard,0
14,Kakuna,Bug,Poison,,1,2,Standard,0
15,Beedrill,Bug,Poison,,1,3,Standard,0
16,Pidgey,Normal,Flying,,1,1,Standard,0
17,Pidgeotto,Normal,Flying,,1,2,Standard,0
18,Pidgeot,Normal,Flying,,1,3,Standard,1
19,Rattata,Normal,Normal,,1,1,Standard,1
19,Rattata,Dark,Normal,Alohan,1,1,Standard,0
20,Raticate,Normal,Normal,,1,2,Standard,0
20,Raticate,Dark,Normal,Alohan,1,2,Standard,0
21,Spearow,Normal,Flying,,1,1,Standard,0
22,Fearow,Normal,Flying,,1,2,Standard,0
23,Ekans,Poison,Poison,,1,1,Standard,0
24,Arbok,Poison,Poison,,1,2,Standard,1
25,Pikachu,Electric,Electric,,1,2,Starter,1
26,Raichu,Electric,Electric,,1,3,Starter,0
26,Raichu,Electric,Psychic,Alohan,1,3,Starter,1
27,Sandshrew,Ground,Ground,,1,1,Standard,1
27,Sandshrew,Ice,Steel,Alohan,1,1,Standard,0
28,Sandslash,Ground,Ground,,1,2,Standard,0
28,Sandslash,Ice,Steel,Alohan,1,2,Standard,1
29,Nidoran♀,Poison,Poison,,1,1,Standard,0
30,Nidorina,Poison,Poison,,1,2,Standard,0
31,Nidoqueen,Poison,Ground,,1,3,Standard,0
32,Nidoran♂,Poison,Poison,,1,1,Standard,0
33,Nidorino,Poison,Poison,,1,2,Standard,0
34,Nidoking,Poison,Ground,,1,3,Standard,0
35,Clefairy,Fairy,Fairy,,1,2,Standard,1
36,Clefable,Fairy,Fairy,,1,3,Standard,0
37,Vulpix,Fire,Fire,,1,1,Standard,0
37,Vulpix,Ice,Ice,Alohan,1,1,Standard,1
38,Ninetales,Fire,Fire,,1,2,Standard,1
38,Ninetales,Ice,Fairy,Alohan,1,2,Standard,0
39,Jigglypuff,Normal,Fairy,,1,2,Standard,0
40,Wigglytuff,Normal,Fairy,,1,3,Standard,0
41,Zubat,Poison,Flying,,1,1,Standard,0
42,Golbat,Poison,Flying,,1,2,Standard,0
43,Oddish,Grass,Poison,,1,1,Standard,0
44,Gloom,Grass,Poison,,1,2,Standard,0
45,Vileplume,Grass,Poison,,1,3,Standard,0
46,Paras,Bug,Grass,,1,1,Standard,0
47,Parasect,Bug,Grass,,1,2,Standard,0
48,Venonat,Bug,Poison,,1,1,Standard,0
49,Venomoth,Bug,Poison,,1,2,Standard,0
50,Diglett,Ground,Ground,,1,1,Standard,2
50,Diglett,Ground,Steel,Alohan,1,1,Standard,0
51,Dugtrio,Ground,Ground,,1,2,Standard,0
51,Dugtrio,Ground,Steel,Alohan,1,2,Standard,0
52,Meowth,Normal,Normal,,1,1,Standard,1
52,Meowth,Dark,Dark,Alohan,1,1,Standard,0
52,Meowth,Steel,Steel,Galarian,1,1,Standard,0
53,Persian,Normal,Normal,,1,2,Standard,0
53,Persian,Dark,Dark,Alohan,1,2,Standard,0
54,Psyduck,Water,Water,,1,1,Standard,2
55,Golduck,Water,Water,,1,2,Standard,0
56,Mankey,Fighting,Fighting,,1,1,Standard,0
57,Primeape,Fighting,Fighting,,1,2,Standard,0
58,Growlithe,Fire,Fire,,1,1,Standard,0
59,Arcanine,Fire,Fire,,1,2,Standard,0
60,Poliwag,Water,Water,,1,1,Standard,0
61,Poliwhirl,Water,Water,,1,2,Standard,0
62,Poliwrath,Water,Fighting,,1,3,Standard,0
63,Abra,Psychic,Psychic,,1,1,Standard,0
64,Kadabra,Psychic,Psychic,,1,2,Standard,0
65,Alakazam,Psychic,Psychic,,1,3,Standard,0
66,Machop,Fighting,Fighting,,1,1,Standard,0
67,Machoke,Fighting,Fighting,,1,2,Standard,0
