ProductPK,Series,CardName,CardNumber,Rarity,SpotlightPrice,InsertedDTM,LastModifiedDTM
42346,Base Set,Alakazam,001/102,Holo Rare,$12.20,2025-05-31 01:22:10,2025-05-31 15:03:08
42347,Base Set,Mewtwo,010/102,Holo Rare,$12.99,2025-05-31 01:22:10,2025-05-31 15:03:08
42348,Base Set,Lightning Energy,100/102,Common,$0.05,2025-05-31 01:22:10,2025-05-31 15:03:08
42349,Base Set,Psychic Energy,101/102,Common,$0.49,2025-05-31 01:22:10,2025-05-31 15:03:08
42350,Base Set,Water Energy,102/102,Common,$0.34,2025-05-31 01:22:10,2025-05-31 15:03:08
42351,Base Set,Nidoking,011/102,Holo Rare,$24.40,2025-05-31 01:22:10,2025-05-31 15:03:08
42352,Base Set,Ninetales,012/102,Holo Rare,$19.99,2025-05-31 01:22:10,2025-05-31 15:03:08
42353,Base Set,Poliwrath,013/102,Holo Rare,$32.83,2025-05-31 01:22:10,2025-05-31 15:03:08
42354,Base Set,Raichu,014/102,Holo Rare,$25.36,2025-05-31 01:22:10,2025-05-31 15:03:08
42355,Base Set,Venusaur,015/102,Holo Rare,$27.06,2025-05-31 01:22:10,2025-05-31 15:03:08
42356,Base Set,Zapdos,016/102,Holo Rare,$22.00,2025-05-31 01:22:10,2025-05-31 15:03:08
42357,Base Set,Beedrill,017/102,Rare,$0.99,2025-05-31 01:22:10,2025-05-31 15:03:08
42358,Base Set,Dragonair,018/102,Rare,$10.49,2025-05-31 01:22:10,2025-05-31 15:03:08
42359,Base Set,Dugtrio,019/102,Rare,$1.19,2025-05-31 01:22:10,2025-05-31 15:03:08
42360,Base Set,Blastoise,002/102,Holo Rare,$32.51,2025-05-31 01:22:10,2025-05-31 15:03:08
42361,Base Set,Electabuzz,020/102,Rare,$3.94,2025-05-31 01:22:10,2025-05-31 15:03:08
42362,Base Set,Electrode,021/102,Rare,$3.67,2025-05-31 01:22:10,2025-05-31 15:03:08
42363,Base Set,Pidgeotto,022/102,Rare,$3.94,2025-05-31 01:22:10,2025-05-31 15:03:08
42364,Base Set,Arcanine,023/102,Uncommon,$4.01,2025-05-31 01:22:10,2025-05-31 15:03:08
42365,Base Set,Charmeleon,024/102,Uncommon,$0.18,2025-05-31 01:22:10,2025-05-31 15:03:08
42366,Base Set,Dewgong,025/102,Uncommon,$0.15,2025-05-31 01:22:10,2025-05-31 15:03:08
42367,Base Set,Dratini,026/102,Uncommon,$0.33,2025-05-31 01:22:10,2025-05-31 15:03:08
42368,Base Set,Farfetch'd,027/102,Uncommon,$0.30,2025-05-31 01:22:10,2025-05-31 15:03:08
42369,Base Set,Growlithe,028/102,Uncommon,$0.45,2025-05-31 01:22:10,2025-05-31 15:03:08
42370,Base Set,Haunter,029/102,Uncommon,$0.75,2025-05-31 01:22:10,2025-05-31 15:03:08
42371,Base Set,Chansey,003/102,Holo Rare,$5.48,2025-05-31 01:22:10,2025-05-31 15:03:08
42372,Base Set,Ivysaur,030/102,Uncommon,$1.39,2025-05-31 01:22:10,2025-05-31 15:03:08
42373,Base Set,Jynx,031/102,Uncommon,$0.06,2025-05-31 01:22:10,2025-05-31 15:03:08
42374,Base Set,Kadabra,032/102,Uncommon,$0.74,2025-05-31 01:22:10,2025-05-31 15:03:08
42375,Base Set,Kakuna,033/102,Uncommon,$0.49,2025-05-31 01:22:10,2025-05-31 15:03:08
42376,Base Set,Machoke,034/102,Uncommon,$0.20,2025-05-31 01:22:10,2025-05-31 15:03:08
42377,Base Set,Magikarp,035/102,Uncommon,$0.25,2025-05-31 01:22:10,2025-05-31 15:03:08
42378,Base Set,Magmar,036/102,Uncommon,$1.23,2025-05-31 01:22:10,2025-05-31 15:03:08
42379,Base Set,Nidorino,037/102,Uncommon,$0.75,2025-05-31 01:22:10,2025-05-31 15:03:08
42380,Base Set,Poliwhirl,038/102,Uncommon,$0.46,2025-05-31 01:22:10,2025-05-31 15:03:08
42381,Base Set,Porygon,039/102,Uncommon,$0.85,2025-05-31 01:22:10,2025-05-31 15:03:08
42382,Base Set,Charizard,004/102,Holo Rare,$144.30,2025-05-31 01:22:10,2025-05-31 15:03:08
42383,Base Set,Raticate,040/102,Uncommon,$0.24,2025-05-31 01:22:10,2025-05-31 15:03:08
42384,Base Set,Seel,041/102,Uncommon,$0.91,2025-05-31 01:22:10,2025-05-31 15:03:08
42385,Base Set,Wartortle,042/102,Uncommon,$1.20,2025-05-31 01:22:10,2025-05-31 15:03:08
42386,Base Set,Abra,043/102,Common,$0.32,2025-05-31 01:22:10,2025-05-31 15:03:08
42387,Base Set,Bulbasaur,044/102,Common,$0.74,2025-05-31 01:22:10,2025-05-31 15:03:08
42388,Base Set,Caterpie,045/102,Common,$0.20,2025-05-31 01:22:10,2025-05-31 15:03:08
42389,Base Set,Charmander,046/102,Common,$0.30,2025-05-31 01:22:10,2025-05-31 15:03:08
42390,Base Set,Diglett,047/102,Common,$0.09,2025-05-31 01:22:10,2025-05-31 15:03:08
42391,Base Set,Doduo,048/102,Common,$0.49,2025-05-31 01:22:10,2025-05-31 15:03:08
42392,Base Set,Drowzee,049/102,Common,$0.15,2025-05-31 01:22:10,2025-05-31 15:03:08
42393,Base Set,Clefairy,005/102,Holo Rare,$12.00,2025-05-31 01:22:10,2025-05-31 15:03:08
42394,Base Set,Gastly,050/102,Common,$0.19,2025-05-31 01:22:10,2025-05-31 15:03:08
42395,Base Set,Koffing,051/102,Common,$0.27,2025-05-31 01:22:10,2025-05-31 15:03:08
42396,Base Set,Machop,052/102,Common,$0.07,2025-05-31 01:22:10,2025-05-31 15:03:08
42397,Base Set,Magnemite,053/102,Common,$0.11,2025-05-31 01:22:10,2025-05-31 15:03:08
42398,Base Set,Metapod,054/102,Common,$0.40,2025-05-31 01:22:10,2025-05-31 15:03:08
42399,Base Set,Nidoran M,055/102,Common,$0.35,2025-05-31 01:22:10,2025-05-31 15:03:08
42400,Base Set,Onix,056/102,Common,$0.04,2025-05-31 01:22:10,2025-05-31 15:03:08
42401,Base Set,Pidgey,057/102,Common,$0.35,2025-05-31 01:22:10,2025-05-31 15:03:08
42402,Base Set,Pikachu,058/102,Common,$1.18,2025-05-31 01:22:10,2025-05-31 15:03:08
42403,Base Set,Poliwag,059/102,Common,$0.30,2025-05-31 01:22:10,2025-05-31 15:03:08
42404,Base Set,Gyarados,006/102,Holo Rare,$5.62,2025-05-31 01:22:10,2025-05-31 15:03:08
42405,Base Set,Ponyta,060/102,Common,$0.28,2025-05-31 01:22:10,2025-05-31 15:03:08
42406,Base Set,Rattata,061/102,Common,$0.36,2025-05-31 01:22:10,2025-05-31 15:03:08
42407,Base Set,Sandshrew,062/102,Common,$0.18,2025-05-31 01:22:10,2025-05-31 15:03:08
42408,Base Set,Squirtle,063/102,Common,$1.97,2025-05-31 01:22:10,2025-05-31 15:03:08
